career,skills,interests
Data Analyst,"python,sql,excel,pandas,power bi,statistics,data visualization","data,analytics,business"
Data Scientist,"python,machine learning,statistics,pandas,numpy,sql","data,ai,analytics"
Web Developer,"html,css,javascript,react,python","web development,programming,design"
Software Developer,"python,java,c++,dsa,sql,git","programming,software development"
AI Engineer,"python,machine learning,deep learning,tensorflow,pytorch","ai,machine learning,technology"
Cybersecurity Analyst,"networking,linux,security,python,ethical hacking","security,technology,networking"
Database Administrator,"sql,mysql,oracle,database,backup","database,data,technology"
Business Analyst,"excel,sql,power bi,communication,data analysis","business,analytics,data"
Cloud Engineer,"cloud,aws,linux,networking,python","cloud,technology,networking"
UI UX Designer,"figma,design,html,css,prototyping","design,creativity,user experience"
